datetime,open,high,low,close,volume,month,MA20,MA50
2025-10-20 20:15:00,4346.54,4350.67,4340.44,4342.15,8975,10,4332.802,4287.0774
2025-10-20 20:30:00,4342.2,4346.92,4337.28,4345.36,8480,10,4334.068499999999,4288.7573999999995
2025-10-20 20:45:00,4345.45,4349.0,4345.45,4347.6,8054,10,4335.272,4290.5714
2025-10-20 21:00:00,4347.69,4348.96,4344.26,4346.91,5634,10,4336.666,4292.4116
2025-10-20 21:15:00,4346.94,4358.36,4345.52,4357.75,7856,10,4338.548000000001,4294.7686
2025-10-20 21:30:00,4357.77,4364.48,4355.01,4359.41,11550,10,4341.116499999999,4297.0774
2025-10-20 21:45:00,4359.29,4362.12,4357.22,4359.28,9102,10,4344.039500000001,4299.7282
2025-10-20 22:00:00,4359.36,4366.97,4359.1,4366.26,9115,10,4346.5435,4302.3696
2025-10-20 22:15:00,4366.29,4367.27,4364.44,4366.77,7534,10,4348.5650000000005,4304.9736
2025-10-20 22:30:00,4366.83,4369.74,4363.24,4369.64,7780,10,4350.784000000001,4307.2742
2025-10-20 22:45:00,4369.6,4381.58,4369.26,4378.13,12788,10,4353.082,4309.7572
2025-10-20 23:00:00,4377.91,4380.09,4355.34,4360.19,8890,10,4353.7795,4311.7806
2025-10-20 23:15:00,4360.27,4361.09,4346.54,4354.24,7137,10,4354.2345000000005,4313.7627999999995
2025-10-20 23:30:00,4354.3,4358.91,4346.7,4357.16,5260,10,4354.5955,4315.6926
2025-10-20 23:45:00,4357.15,4359.02,4353.84,4356.14,2377,10,4354.9465,4317.6044
2025-10-21 01:00:00,4354.88,4371.0,4352.61,4361.73,2417,10,4355.7155,4319.6574
2025-10-21 01:15:00,4361.65,4375.35,4361.65,4371.66,2127,10,4357.0425000000005,4321.9186
2025-10-21 01:30:00,4371.67,4371.73,4357.56,4358.99,2025,10,4357.6845,4324.0454
2025-10-21 01:45:00,4358.97,4370.11,4357.45,4367.44,2050,10,4358.668,4326.3452
2025-10-21 02:00:00,4367.5,4371.52,4365.47,4367.42,3357,10,4359.711499999999,4328.5278
2025-10-21 02:15:00,4367.49,4368.07,4359.7,4362.24,3840,10,4360.716,4330.5588
2025-10-21 02:30:00,4362.14,4363.06,4357.12,4361.16,3736,10,4361.506,4332.7126
2025-10-21 02:45:00,4360.95,4362.44,4356.66,4360.4,6280,10,4362.146,4334.8018
2025-10-21 03:00:00,4360.38,4364.13,4356.24,4359.21,9157,10,4362.761,4336.830400000001
2025-10-21 03:15:00,4359.17,4370.37,4355.78,4368.63,7760,10,4363.304999999999,4339.103999999999
2025-10-21 03:30:00,4368.61,4371.13,4366.15,4369.94,5947,10,4363.8315,4341.4028
2025-10-21 03:45:00,4369.93,4370.97,4364.32,4368.77,8049,10,4364.3060000000005,4343.5248
2025-10-21 04:00:00,4368.78,4372.24,4357.96,4359.09,13560,10,4363.9475,4345.4304
2025-10-21 04:15:00,4359.03,4361.02,4349.08,4350.07,10863,10,4363.1125,4346.8438
2025-10-21 04:30:00,4350.28,4350.62,4332.78,4346.04,12836,10,4361.9325,4348.1494
2025-10-21 04:45:00,4346.12,4350.84,4338.88,4350.63,8578,10,4360.557500000001,4349.286
2025-10-21 05:00:00,4350.64,4350.97,4340.86,4345.6,9825,10,4359.8279999999995,4349.7973999999995
2025-10-21 05:15:00,4345.69,4355.32,4343.76,4350.44,6083,10,4359.638,4350.3356
2025-10-21 05:30:00,4350.45,4351.64,4335.85,4339.9,8180,10,4358.775,4350.753
2025-10-21 05:45:00,4339.9,4344.69,4334.92,4338.88,7994,10,4357.911999999999,4351.1284000000005
2025-10-21 06:00:00,4338.84,4346.82,4337.77,4342.14,5816,10,4356.9325,4351.810399999999
2025-10-21 06:15:00,4342.21,4349.34,4339.38,4348.69,6058,10,4355.784,4352.7678
2025-10-21 06:30:00,4348.71,4350.62,4346.53,4347.49,3820,10,4355.209000000001,4353.394
2025-10-21 06:45:00,4347.66,4348.55,4343.14,4346.5,3734,10,4354.162,4353.7972
2025-10-21 07:00:00,4346.47,4346.97,4342.8,4343.81,4140,10,4352.9815,4354.1682
2025-10-21 07:15:00,4343.79,4345.55,4342.19,4342.89,3304,10,4352.014,4354.3826
2025-10-21 07:30:00,4342.74,4343.69,4338.78,4339.55,3743,10,4350.9335,4354.2488
2025-10-21 07:45:00,4339.54,4344.2,4336.9,4341.94,4349,10,4350.010499999999,4354.1848
2025-10-21 08:00:00,4341.66,4344.17,4331.34,4334.49,7135,10,4348.7745,4353.8758
2025-10-21 08:15:00,4334.51,4335.55,4329.38,4332.92,6942,10,4346.989,4353.5518
2025-10-21 08:30:00,4333.05,4333.25,4316.89,4322.78,11538,10,4344.630999999999,4353.0804
2025-10-21 08:45:00,4322.8,4329.14,4322.0,4323.38,8022,10,4342.3615,4352.6456
2025-10-21 09:00:00,4323.39,4330.55,4317.27,4329.35,11541,10,4340.8745,4352.3096000000005
2025-10-21 09:15:00,4329.45,4330.37,4322.95,4324.03,10371,10,4339.5725,4351.8348
2025-10-21 09:30:00,4323.89,4337.91,4322.06,4337.38,10418,10,4339.139499999999,4351.6514
2025-10-21 09:45:00,4337.41,4344.22,4334.85,4343.18,10381,10,4338.767,4351.6720000000005
2025-10-21 10:00:00,4343.1,4343.31,4330.08,4331.24,11858,10,4338.049000000001,4351.3895999999995
2025-10-21 10:15:00,4331.26,4334.44,4322.44,4324.87,11329,10,4336.7705000000005,4350.935
2025-10-21 10:30:00,4324.9,4324.94,4293.15,4300.65,20030,10,4334.808,4350.0098
2025-10-21 10:45:00,4300.61,4307.19,4297.09,4298.31,14500,10,4332.7795,4348.821
2025-10-21 11:00:00,4298.35,4301.77,4244.26,4244.3,22445,10,4327.8875,4346.5188
2025-10-21 11:15:00,4244.34,4270.3,4244.34,4267.09,16953,10,4323.8075,4344.674999999999
2025-10-21 11:30:00,4267.07,4272.85,4263.07,4271.95,13511,10,4320.0305,4342.7888
2025-10-21 11:45:00,4271.91,4274.14,4267.56,4273.8,9303,10,4316.3955,4340.929399999999
2025-10-21 12:00:00,4273.91,4277.99,4254.45,4258.44,10095,10,4312.1269999999995,4338.7054
2025-10-21 12:15:00,4258.3,4272.43,4257.7,4270.73,9650,10,4308.519,4336.5574
2025-10-21 12:30:00,4270.76,4276.04,4265.6,4269.68,7196,10,4305.0255,4334.7472
2025-10-21 12:45:00,4269.79,4272.26,4262.79,4265.26,8871,10,4301.1915,4332.9676
2025-10-21 13:00:00,4265.27,4266.5,4255.41,4260.07,7877,10,4297.4705,4331.0258
2025-10-21 13:15:00,4260.1,4266.34,4249.16,4264.49,10143,10,4294.049000000001,4329.1928
2025-10-21 13:30:00,4264.57,4264.73,4255.54,4260.13,7253,10,4290.9165,4327.160800000001
2025-10-21 13:45:00,4260.27,4261.87,4253.45,4253.77,6537,10,4287.436,4324.803
2025-10-21 14:00:00,4253.64,4269.01,4252.02,4267.8,7075,10,4284.3585,4322.979200000001
2025-10-21 14:15:00,4267.84,4272.47,4257.07,4266.38,7514,10,4281.476,4320.958
2025-10-21 14:30:00,4266.48,4266.98,4254.62,4255.78,6052,10,4277.396000000001,4318.7252
2025-10-21 14:45:00,4255.86,4260.96,4245.35,4253.23,8342,10,4272.8985,4316.545
2025-10-21 15:00:00,4253.22,4257.57,4214.75,4225.41,22242,10,4267.607000000001,4313.83
2025-10-21 15:15:00,4225.33,4233.12,4218.97,4228.49,14916,10,4262.788,4311.1918
2025-10-21 15:30:00,4228.14,4230.27,4216.18,4218.14,21401,10,4258.6625,4308.370400000001
2025-10-21 15:45:00,4217.87,4222.1,4205.67,4210.98,23659,10,4254.296,4305.2173999999995
2025-10-21 16:00:00,4211.04,4211.21,4189.49,4197.24,33515,10,4251.943,4301.7634
2025-10-21 16:15:00,4197.23,4209.77,4195.36,4200.94,20236,10,4248.6355,4298.4068
2025-10-21 16:30:00,4200.71,4225.47,4190.43,4205.57,44160,10,4245.316499999999,4295.336399999999
2025-10-21 16:45:00,4205.52,4209.23,4167.43,4173.82,50947,10,4240.3175,4291.8114000000005
2025-10-21 17:00:00,4173.69,4188.08,4164.24,4181.88,47708,10,4236.489500000001,4288.5282
2025-10-21 17:15:00,4181.83,4182.05,4129.82,4136.86,42027,10,4229.795999999999,4284.2528
2025-10-21 17:30:00,4137.13,4137.38,4097.07,4101.38,25330,10,4221.380999999999,4279.368399999999
2025-10-21 17:45:00,4101.21,4141.49,4080.11,4138.64,23860,10,4215.05,4275.1323999999995
2025-10-21 18:00:00,4138.64,4151.15,4122.91,4141.18,17315,10,4209.1055,4271.157999999999
2025-10-21 18:15:00,4141.05,4143.03,4120.09,4124.88,12439,10,4202.124999999999,4266.878
2025-10-21 18:30:00,4124.78,4143.09,4123.15,4142.53,13671,10,4196.245,4262.8858
2025-10-21 18:45:00,4142.54,4147.97,4134.27,4138.49,14860,10,4190.481,4258.6818
2025-10-21 19:00:00,4138.52,4143.85,4125.13,4134.18,16135,10,4183.8,4254.4156
2025-10-21 19:15:00,4134.17,4134.47,4114.49,4117.44,13394,10,4176.353,4249.8344
2025-10-21 19:30:00,4117.52,4120.94,4100.91,4113.92,15007,10,4169.26,4245.2366
2025-10-21 19:45:00,4113.87,4126.62,4108.6,4113.45,15241,10,4162.271,4240.647800000001
2025-10-21 20:00:00,4113.28,4119.61,4101.11,4114.15,18456,10,4156.7080000000005,4236.1398
2025-10-21 20:15:00,4114.21,4119.24,4092.95,4098.28,17481,10,4150.1975,4231.2666
2025-10-21 20:30:00,4098.26,4117.86,4095.89,4116.14,13634,10,4145.0975,4226.8996
2025-10-21 20:45:00,4116.08,4120.19,4108.52,4111.11,11808,10,4140.104,4222.463400000001
2025-10-21 21:00:00,4111.12,4124.15,4110.61,4118.59,11506,10,4136.1714999999995,4218.3796
2025-10-21 21:15:00,4118.57,4119.47,4111.52,4116.11,11675,10,4131.929999999999,4214.2342
2025-10-21 21:30:00,4116.38,4125.78,4113.2,4113.77,10565,10,4127.34,4209.9226
2025-10-21 21:45:00,4113.86,4115.53,4106.3,4114.8,13677,10,4124.389,4205.738
2025-10-21 22:00:00,4114.84,4122.25,4106.19,4110.28,10961,10,4120.808999999999,4201.196
2025-10-21 22:15:00,4110.27,4110.84,4100.22,4104.27,15140,10,4119.1795,4196.4178
2025-10-21 22:30:00,4104.3,4112.31,4101.22,4110.22,10653,10,4119.6215,4191.9974
2025-10-21 22:45:00,4110.38,4111.71,4101.35,4108.61,11452,10,4118.120000000001,4187.6722
2025-10-21 23:00:00,4108.89,4121.71,4105.91,4120.6,7014,10,4117.090999999999,4184.0712
2025-10-21 23:15:00,4120.64,4124.84,4118.55,4122.52,4118,10,4116.973,4180.5554
2025-10-21 23:30:00,4122.57,4131.01,4120.62,4128.39,3662,10,4116.266,4178.2372000000005
2025-10-21 23:45:00,4128.38,4130.54,4124.06,4124.31,2116,10,4115.557,4175.381600000001
2025-10-22 01:00:00,4124.63,4132.42,4113.9,4118.28,2130,10,4114.762,4172.3082
2025-10-22 01:15:00,4118.25,4126.61,4116.81,4124.62,2114,10,4115.121000000001,4169.3246
2025-10-22 01:30:00,4124.59,4128.92,4120.65,4124.79,2330,10,4115.6645,4166.6516
2025-10-22 01:45:00,4124.82,4128.03,4120.74,4123.16,2008,10,4116.15,4163.7002
2025-10-22 02:00:00,4122.89,4125.89,4116.04,4117.05,3655,10,4116.295,4160.6476
2025-10-22 02:15:00,4117.05,4127.21,4113.62,4123.61,4701,10,4117.561500000001,4157.814600000001
2025-10-22 02:30:00,4123.81,4127.62,4123.4,4124.51,3206,10,4117.9800000000005,4155.1034
2025-10-22 02:45:00,4124.54,4124.54,4089.79,4092.96,11391,10,4117.0725,4151.6728
2025-10-22 03:00:00,4093.09,4094.0,4003.4,4036.09,40168,10,4112.9475,4147.192
2025-10-22 03:15:00,4036.34,4058.88,4029.87,4048.98,36718,10,4109.591,4143.0962
2025-10-22 03:30:00,4049.2,4082.92,4040.64,4075.32,25544,10,4107.668500000001,4139.2465999999995
2025-10-22 03:45:00,4075.28,4090.91,4062.91,4075.01,21141,10,4105.679,4135.4192
2025-10-22 04:00:00,4075.07,4118.95,4063.31,4116.76,27065,10,4106.003,4132.6388
2025-10-22 04:15:00,4116.75,4120.83,4097.86,4104.54,11440,10,4106.0165,4129.665
2025-10-22 04:30:00,4104.47,4110.26,4082.9,4098.27,13811,10,4105.419,4127.1222
2025-10-22 04:45:00,4098.25,4106.31,4082.99,4087.0,10191,10,4104.3385,4124.2924
2025-10-22 05:00:00,4087.09,4117.77,4086.84,4115.36,6783,10,4104.0765,4122.2368
2025-10-22 05:15:00,4115.2,4115.44,4107.84,4110.35,5761,10,4103.468,4120.224200000001
2025-10-22 05:30:00,4110.33,4114.8,4103.33,4112.23,6786,10,4102.66,4118.523999999999
2025-10-22 05:45:00,4112.25,4116.38,4111.28,4114.81,4674,10,4102.185,4116.8014
2025-10-22 06:00:00,4114.68,4115.52,4107.03,4112.22,4516,10,4101.882,4114.9344
2025-10-22 06:15:00,4112.21,4121.08,4109.84,4116.71,4742,10,4101.4865,4113.7922
2025-10-22 06:30:00,4116.9,4141.15,4116.08,4138.9,7388,10,4102.192,4112.9326
2025-10-22 06:45:00,4138.9,4143.41,4128.25,4128.53,6369,10,4102.460499999999,4112.7660000000005
2025-10-22 07:00:00,4128.53,4133.39,4106.86,4123.57,8831,10,4102.7865,4113.2098000000005
2025-10-22 07:15:00,4123.6,4130.47,4122.12,4128.97,5745,10,4103.0545,4113.0164
2025-10-22 07:30:00,4128.67,4133.13,4126.46,4128.09,4347,10,4103.2335,4112.7546
2025-10-22 07:45:00,4128.14,4131.78,4117.96,4128.06,3981,10,4104.9884999999995,4112.8182
2025-10-22 08:00:00,4128.2,4141.73,4126.21,4141.38,4753,10,4110.253,4112.7952000000005
2025-10-22 08:15:00,4141.34,4146.99,4138.53,4140.54,5907,10,4114.831,4112.8362
2025-10-22 08:30:00,4140.42,4141.28,4132.29,4138.11,6776,10,4117.970499999999,4112.9148
2025-10-22 08:45:00,4138.13,4145.34,4131.88,4135.11,6818,10,4120.9755,4113.2682
2025-10-22 09:00:00,4135.1,4139.15,4127.64,4137.5,11976,10,4122.0125,4113.739799999999
2025-10-22 09:15:00,4137.55,4143.78,4135.88,4141.87,9000,10,4123.879,4114.3082
2025-10-22 09:30:00,4141.88,4159.53,4141.58,4159.38,7161,10,4126.934499999999,4115.212799999999
2025-10-22 09:45:00,4159.46,4161.2,4152.43,4155.68,7853,10,4130.3685000000005,4116.3608
2025-10-22 10:00:00,4155.61,4157.07,4129.19,4137.59,16347,10,4131.4800000000005,4116.7898000000005
2025-10-22 10:15:00,4137.6,4144.78,4136.41,4141.8,11481,10,4133.0525,4117.4036
2025-10-22 10:30:00,4141.84,4143.77,4135.51,4137.08,9060,10,4134.295,4117.7734
2025-10-22 10:45:00,4136.98,4147.99,4130.65,4132.84,10773,10,4135.1965,4118.108
2025-10-22 11:00:00,4132.57,4135.93,4085.13,4087.65,24131,10,4133.968,4117.5856
2025-10-22 11:15:00,4087.69,4114.26,4058.22,4102.84,17227,10,4133.2745,4117.3464
2025-10-22 11:30:00,4102.54,4110.02,4084.27,4087.83,10836,10,4130.7210000000005,4116.8974
2025-10-22 11:45:00,4087.82,4094.46,4069.12,4070.34,13275,10,4127.811500000001,4116.2188
2025-10-22 12:00:00,4070.21,4101.65,4070.07,4075.51,14416,10,4125.4085,4115.5246
2025-10-22 12:15:00,4075.58,4080.55,4064.28,4075.69,11563,10,4122.7445,4114.8662
2025-10-22 12:30:00,4075.7,4082.72,4062.36,4062.99,10514,10,4119.489500000001,4113.714
2025-10-22 12:45:00,4062.98,4072.49,4061.47,4069.45,7192,10,4116.559,4112.6526
2025-10-22 13:00:00,4069.11,4077.9,4062.86,4075.61,8445,10,4113.2705000000005,4111.597
2025-10-22 13:15:00,4075.7,4085.54,4070.62,4084.57,7843,10,4110.472,4110.8022
2025-10-22 13:30:00,4084.38,4090.94,4044.83,4053.94,10937,10,4106.2635,4109.5154
